,user_id,followers,friends,favourites,statuses,label
0,1013187241,84,211,251,837,1
243,3346224328,189,169,698,3694,1
893,739069418,132,85,1807,2519,1
922,1383256561,17,54,155,108,1
978,2660477449,1206,2143,39008,950,1
1018,221788137,155,355,130,5479,1
1206,39248633,2454,1547,57,6155,1
1325,1629737760,2377,738,3189,5624,1
1502,1616997456,476,1235,0,21533,1
1783,1616997456,475,1235,0,21533,1
2390,38988469,2338,175,343,6010,1
2461,2828686140,157,1232,3142,3268,1
2490,3437541795,2,12,293,24,1
2494,325328455,3185,1447,1250,5186,1
2594,484109859,28614,28514,0,4783,1
2672,1942261957,560,729,107,3464,1
2734,74046089,141,223,3763,3532,1
2784,3045320288,1505,2082,6920,13251,1
3417,1058067937,43,30,14,198,1
3578,377696171,1035,306,19320,32925,1
3910,26620439,4679,439,3786,2792,1
3935,211257562,0,1,0,3,1
3938,2285922931,43,59,4301,12309,1
4663,20863408,104,247,2752,3268,1
4780,1015648590,119,109,757,1300,1
4864,803100541,465,2057,933,2503,1
4973,2848936114,54,314,10,52,1
4974,3015971504,914,489,8717,3359,1
5432,2565061484,7,33,0,533,1
5433,49548465,677,1644,8375,12913,1
5785,28727726,629,1975,365,11113,1
5820,2402651889,13,78,29,51,1
5822,422475242,114,207,232,5224,1
5862,718984718,501,149,472,945,1
6000,47622202,1324,2361,3692,5129,1
6120,1306425758,734,1899,154,5929,1
6426,632291359,68,399,243,1480,1
6570,218579504,504,1539,451,32619,1
6629,351777130,62,360,11,150,1
6630,60868031,1768,532,3,5720,1
7160,3138163878,4,10,1,11,1
7165,454311273,399,615,194,3289,1
7361,2258481217,2,3,289,1880,1
7365,14724376,350,207,8276,22207,1
7706,343501537,1383,1029,32804,14827,1
7927,805234081,2,7,1,16,1
7929,30863895,426,482,1926,20330,1
8071,3279878459,48,48,49,6,1
8072,426755505,257,1369,221,934,1
8074,1143982232,61,361,33,213,1
8199,468753088,434,459,17720,6529,1
8456,20118423,288,988,280,6694,1
9154,1052121847,177,687,3066,8133,1
9871,236851154,230,533,2683,5475,1
9940,2766067037,78,175,664,1148,1
10000,727820220291645442,123,145,1068,23801,0
10011,3249600438,235,185,24407,22302,0
11515,706699293558710273,39,120,15,14,0
11517,18831261,884,2389,8466,57269,0
12060,171999132,252,2119,704,1428,0
12181,145626605,126,621,22,2111,0
13457,762433972273950725,20,0,0,2143,0
13853,1497350173,640,445,24297,52892,0
14645,2369443141,111,249,1195,780,0
14740,490044008,1849,561,8229,86352,0
16857,763182466098233344,3088,299,7979,19472,0
17379,324294391,59,183,2456,6180,0
17594,548972753,53,496,22,153,0
17611,29053403,465,189,80,31009,0
17723,894149342,44,69,2228,5923,0
17854,2780518314,11,13,573,1819,0
18047,1458225506,1197,701,1156,61856,0
19640,1169875706,442,230,7,1063601,0
